"table_name","column_name","referenced_table","referenced_column"
"agent_recruiter_profiles","user_id","users","id"
"agents","user_id","users","id"
"club_profiles","user_id","users","id"
"contact_requests","recipient_user_id","users","id"
"contact_requests","player_id","players","id"
"contact_requests","requester_user_id","users","id"
"conversations","participant_1_id","users","id"
"conversations","participant_2_id","users","id"
"messages","sender_id","users","id"
"messages","conversation_id","conversations","id"
"player_profiles","user_id","users","id"
"player_profiles","club_user_id","users","id"
"player_profiles","agent_user_id","users","id"
"player_videos","player_profile_id","player_profiles","id"
"players","owner_user_id","users","id"
"players","agent_user_id","users","id"
"players","club_user_id","users","id"
"recruiters","user_id","users","id"
"shortlist_players","player_profile_id","player_profiles","id"
"shortlist_players","shortlist_id","shortlists","id"
"shortlists","user_id","users","id"
"subscriptions","user_id","users","id"
"transfers","from_club_id","users","id"
"transfers","to_club_id","users","id"
"transfers","player_profile_id","player_profiles","id"
